"orderid","profit","website_session_id","source","marketing_campaign","content","device"
"117","30.50","4100","gsearch","nonbrand","g_ad_1","desktop"
"119","30.50","4130","gsearch","nonbrand","g_ad_1","desktop"
"120","30.50","4136","gsearch","nonbrand","g_ad_1","mobile"
"121","30.50","4140","gsearch","nonbrand","g_ad_1","desktop"
"122","30.50","4224","","","","desktop"
"123","30.50","4232","gsearch","nonbrand","g_ad_1","mobile"
"124","30.50","4235","gsearch","nonbrand","g_ad_1","desktop"
"125","30.50","4249","gsearch","nonbrand","g_ad_1","desktop"
"126","30.50","4258","","","","mobile"
"127","30.50","4372","","","","desktop"
"128","30.50","4420","gsearch","nonbrand","g_ad_1","mobile"
"129","30.50","4437","gsearch","nonbrand","g_ad_1","desktop"
"130","30.50","4490","gsearch","brand","g_ad_2","desktop"
"131","30.50","4501","gsearch","nonbrand","g_ad_1","desktop"
"132","30.50","4531","","","","desktop"
"133","30.50","4559","gsearch","nonbrand","g_ad_1","mobile"
"134","30.50","4566","gsearch","nonbrand","g_ad_1","desktop"
"135","30.50","4567","gsearch","nonbrand","g_ad_1","desktop"
"136","30.50","4605","gsearch","nonbrand","g_ad_1","desktop"
"137","30.50","4620","gsearch","nonbrand","g_ad_1","desktop"
"138","30.50","4685","gsearch","nonbrand","g_ad_1","desktop"
"2447","30.50","59529","","","","mobile"
"139","30.50","4770","gsearch","nonbrand","g_ad_1","mobile"
"140","30.50","4801","gsearch","nonbrand","g_ad_1","desktop"
"141","30.50","4815","gsearch","nonbrand","g_ad_1","desktop"
"142","30.50","4828","gsearch","nonbrand","g_ad_1","desktop"
"143","30.50","4878","gsearch","nonbrand","g_ad_1","desktop"
"144","30.50","4881","gsearch","nonbrand","g_ad_1","desktop"
"145","30.50","4889","gsearch","nonbrand","g_ad_1","desktop"
"146","30.50","4923","","","","desktop"
"148","30.50","4951","gsearch","nonbrand","g_ad_1","desktop"
"149","30.50","4952","gsearch","brand","g_ad_2","desktop"
"150","30.50","5054","gsearch","nonbrand","g_ad_1","desktop"
"151","30.50","5065","","","","mobile"
"152","30.50","5151","gsearch","brand","g_ad_2","desktop"
"153","30.50","5252","gsearch","nonbrand","g_ad_1","desktop"
"154","30.50","5270","gsearch","nonbrand","g_ad_1","desktop"
"155","30.50","5292","gsearch","nonbrand","g_ad_1","desktop"
"156","30.50","5297","gsearch","nonbrand","g_ad_1","desktop"
"157","30.50","5386","gsearch","nonbrand","g_ad_1","mobile"
"158","30.50","5458","gsearch","nonbrand","g_ad_1","desktop"
"159","30.50","5538","gsearch","nonbrand","g_ad_1","desktop"
"160","30.50","5619","gsearch","nonbrand","g_ad_1","desktop"
"161","30.50","5650","gsearch","nonbrand","g_ad_1","desktop"
"162","30.50","5654","","","","desktop"
"163","30.50","5663","","","","desktop"
"164","30.50","5705","gsearch","nonbrand","g_ad_1","desktop"
"165","30.50","5820","gsearch","nonbrand","g_ad_1","mobile"
"166","30.50","5830","gsearch","nonbrand","g_ad_1","desktop"
"167","30.50","5870","gsearch","nonbrand","g_ad_1","desktop"
"168","30.50","5873","","","","desktop"
"169","30.50","5925","","","","desktop"
"170","30.50","5927","","","","desktop"
"171","30.50","5976","gsearch","nonbrand","g_ad_1","desktop"
"172","30.50","5987","gsearch","nonbrand","g_ad_1","desktop"
"173","30.50","6017","gsearch","nonbrand","g_ad_1","desktop"
"174","30.50","6036","gsearch","nonbrand","g_ad_1","desktop"
"175","30.50","6056","gsearch","nonbrand","g_ad_1","mobile"
"176","30.50","6123","gsearch","nonbrand","g_ad_1","desktop"
"177","30.50","6481","gsearch","nonbrand","g_ad_1","desktop"
"178","30.50","6487","gsearch","nonbrand","g_ad_1","mobile"
"180","30.50","6539","gsearch","nonbrand","g_ad_1","desktop"
"181","30.50","6562","gsearch","nonbrand","g_ad_1","desktop"
"182","30.50","6571","gsearch","nonbrand","g_ad_1","desktop"
"183","30.50","6603","gsearch","nonbrand","g_ad_1","desktop"
"184","30.50","6614","gsearch","brand","g_ad_2","desktop"
"185","30.50","6629","gsearch","nonbrand","g_ad_1","desktop"
"187","30.50","6692","gsearch","nonbrand","g_ad_1","desktop"
"188","30.50","6765","gsearch","nonbrand","g_ad_1","desktop"
"189","30.50","6781","gsearch","nonbrand","g_ad_1","desktop"
"190","30.50","6836","gsearch","nonbrand","g_ad_1","desktop"
"192","30.50","6927","gsearch","nonbrand","g_ad_1","desktop"
"193","30.50","6993","gsearch","nonbrand","g_ad_1","desktop"
"194","30.50","7018","gsearch","nonbrand","g_ad_1","desktop"
"195","30.50","7035","gsearch","nonbrand","g_ad_1","desktop"
"196","30.50","7042","gsearch","nonbrand","g_ad_1","desktop"
"197","30.50","7140","gsearch","brand","g_ad_2","mobile"
"198","30.50","7144","gsearch","nonbrand","g_ad_1","desktop"
"200","30.50","7178","","","","desktop"
"201","30.50","7179","gsearch","nonbrand","g_ad_1","desktop"
"202","30.50","7188","gsearch","nonbrand","g_ad_1","desktop"
"203","30.50","7191","gsearch","nonbrand","g_ad_1","desktop"
"204","30.50","7240","gsearch","nonbrand","g_ad_1","desktop"
"205","30.50","7245","","","","desktop"
"206","30.50","7263","gsearch","nonbrand","g_ad_1","desktop"
"207","30.50","7311","gsearch","nonbrand","g_ad_1","desktop"
"208","30.50","7312","gsearch","nonbrand","g_ad_1","mobile"
"209","30.50","7421","gsearch","nonbrand","g_ad_1","mobile"
"210","30.50","7507","gsearch","nonbrand","g_ad_1","mobile"
"211","30.50","7528","gsearch","nonbrand","g_ad_1","desktop"
"212","30.50","7577","","","","mobile"
"213","30.50","7590","gsearch","nonbrand","g_ad_1","desktop"
"214","30.50","7597","gsearch","brand","g_ad_2","desktop"
"215","30.50","7604","gsearch","nonbrand","g_ad_1","desktop"
"216","30.50","7663","gsearch","nonbrand","g_ad_1","desktop"
"217","30.50","7710","gsearch","nonbrand","g_ad_1","desktop"
"218","30.50","7734","gsearch","nonbrand","g_ad_1","desktop"
"219","30.50","7787","gsearch","nonbrand","g_ad_1","desktop"
"220","30.50","7792","gsearch","nonbrand","g_ad_1","desktop"
"221","30.50","7795","gsearch","nonbrand","g_ad_1","desktop"
"222","30.50","7820","gsearch","nonbrand","g_ad_1","desktop"
"223","30.50","7864","gsearch","nonbrand","g_ad_1","desktop"
"224","30.50","7906","gsearch","nonbrand","g_ad_1","desktop"
"225","30.50","7947","gsearch","nonbrand","g_ad_1","desktop"
"226","30.50","7973","gsearch","nonbrand","g_ad_1","desktop"
"227","30.50","7978","gsearch","nonbrand","g_ad_1","desktop"
"228","30.50","8001","","","","desktop"
"229","30.50","8011","gsearch","nonbrand","g_ad_1","desktop"
"230","30.50","8060","","","","desktop"
"231","30.50","8130","gsearch","nonbrand","g_ad_1","desktop"
"232","30.50","8265","","","","mobile"
"233","30.50","8272","gsearch","nonbrand","g_ad_1","desktop"
"234","30.50","8435","gsearch","nonbrand","g_ad_1","desktop"
"235","30.50","8447","gsearch","nonbrand","g_ad_1","desktop"
"236","30.50","8479","gsearch","nonbrand","g_ad_1","desktop"
"237","30.50","8480","gsearch","nonbrand","g_ad_1","desktop"
"238","30.50","8519","gsearch","nonbrand","g_ad_1","desktop"
"239","30.50","8543","gsearch","nonbrand","g_ad_1","desktop"
"240","30.50","8546","gsearch","nonbrand","g_ad_1","desktop"
"241","30.50","8569","gsearch","nonbrand","g_ad_1","desktop"
"242","30.50","8642","gsearch","nonbrand","g_ad_1","desktop"
"243","30.50","8643","gsearch","nonbrand","g_ad_1","desktop"
"244","30.50","8656","gsearch","nonbrand","g_ad_1","desktop"
"245","30.50","8694","gsearch","nonbrand","g_ad_1","desktop"
"246","30.50","8738","gsearch","nonbrand","g_ad_1","desktop"
"247","30.50","8748","gsearch","nonbrand","g_ad_1","desktop"
"248","30.50","8766","gsearch","nonbrand","g_ad_1","desktop"
"249","30.50","8810","gsearch","nonbrand","g_ad_1","desktop"
"250","30.50","8874","gsearch","nonbrand","g_ad_1","desktop"
"251","30.50","8903","gsearch","nonbrand","g_ad_1","desktop"
"252","30.50","8905","gsearch","nonbrand","g_ad_1","desktop"
"253","30.50","8921","gsearch","nonbrand","g_ad_1","desktop"
"254","30.50","8953","gsearch","nonbrand","g_ad_1","mobile"
"255","30.50","8963","gsearch","nonbrand","g_ad_1","desktop"
"256","30.50","8971","gsearch","nonbrand","g_ad_1","desktop"
"257","30.50","9020","gsearch","nonbrand","g_ad_1","desktop"
"258","30.50","9032","gsearch","nonbrand","g_ad_1","desktop"
"259","30.50","9042","gsearch","nonbrand","g_ad_1","desktop"
"260","30.50","9073","gsearch","nonbrand","g_ad_1","desktop"
"261","30.50","9166","gsearch","nonbrand","g_ad_1","mobile"
"262","30.50","9176","gsearch","nonbrand","g_ad_1","desktop"
"263","30.50","9193","gsearch","brand","g_ad_2","desktop"
"264","30.50","9216","gsearch","nonbrand","g_ad_1","desktop"
"265","30.50","9240","gsearch","brand","g_ad_2","mobile"
"266","30.50","9294","gsearch","nonbrand","g_ad_1","desktop"
"267","30.50","9342","gsearch","nonbrand","g_ad_1","desktop"
"268","30.50","9363","gsearch","nonbrand","g_ad_1","desktop"
"269","30.50","9412","gsearch","nonbrand","g_ad_1","desktop"
"270","30.50","9413","gsearch","nonbrand","g_ad_1","desktop"
"272","30.50","9460","gsearch","nonbrand","g_ad_1","desktop"
"273","30.50","9467","gsearch","nonbrand","g_ad_1","desktop"
"274","30.50","9514","gsearch","nonbrand","g_ad_1","desktop"
"275","30.50","9547","gsearch","nonbrand","g_ad_1","desktop"
"276","30.50","9562","gsearch","brand","g_ad_2","desktop"
"277","30.50","9568","gsearch","nonbrand","g_ad_1","desktop"
"278","30.50","9590","","","","desktop"
"279","30.50","9592","gsearch","nonbrand","g_ad_1","mobile"
"280","30.50","9617","gsearch","nonbrand","g_ad_1","desktop"
"281","30.50","9735","gsearch","nonbrand","g_ad_1","mobile"
"282","30.50","9765","gsearch","nonbrand","g_ad_1","desktop"
"283","30.50","9769","gsearch","nonbrand","g_ad_1","desktop"
"284","30.50","9779","gsearch","nonbrand","g_ad_1","desktop"
"285","30.50","9819","gsearch","nonbrand","g_ad_1","desktop"
"286","30.50","9849","gsearch","nonbrand","g_ad_1","desktop"
"287","30.50","9915","gsearch","nonbrand","g_ad_1","desktop"
"288","30.50","9932","gsearch","nonbrand","g_ad_1","desktop"
"289","30.50","9942","gsearch","nonbrand","g_ad_1","desktop"
"291","30.50","9989","gsearch","nonbrand","g_ad_1","desktop"
"292","30.50","10020","gsearch","nonbrand","g_ad_1","desktop"
"293","30.50","10033","gsearch","nonbrand","g_ad_1","desktop"
"294","30.50","10041","gsearch","nonbrand","g_ad_1","desktop"
"295","30.50","10105","gsearch","nonbrand","g_ad_1","desktop"
"296","30.50","10122","gsearch","nonbrand","g_ad_1","desktop"
"297","30.50","10151","gsearch","nonbrand","g_ad_1","desktop"
"298","30.50","10167","gsearch","nonbrand","g_ad_1","desktop"
"299","30.50","10177","gsearch","nonbrand","g_ad_1","desktop"
"300","30.50","10244","gsearch","nonbrand","g_ad_1","desktop"
"301","30.50","10265","gsearch","nonbrand","g_ad_1","desktop"
"302","30.50","10269","","","","desktop"
"303","30.50","10277","","","","desktop"
"304","30.50","10291","gsearch","nonbrand","g_ad_1","desktop"
"305","30.50","10300","gsearch","nonbrand","g_ad_1","desktop"
"306","30.50","10335","gsearch","nonbrand","g_ad_1","desktop"
"307","30.50","10411","gsearch","nonbrand","g_ad_1","mobile"
"308","30.50","10442","gsearch","nonbrand","g_ad_1","desktop"
"309","30.50","10468","gsearch","nonbrand","g_ad_1","desktop"
"310","30.50","10517","gsearch","nonbrand","g_ad_1","desktop"
"311","30.50","10518","gsearch","nonbrand","g_ad_1","desktop"
"312","30.50","10526","","","","desktop"
"313","30.50","10575","gsearch","nonbrand","g_ad_1","desktop"
"314","30.50","10591","","","","desktop"
"315","30.50","10600","gsearch","nonbrand","g_ad_1","desktop"
"316","30.50","10605","","","","desktop"
"317","30.50","10674","","","","desktop"
"318","30.50","10719","gsearch","nonbrand","g_ad_1","desktop"
"319","30.50","10721","gsearch","nonbrand","g_ad_1","desktop"
"320","30.50","10752","gsearch","nonbrand","g_ad_1","desktop"
"321","30.50","10787","gsearch","nonbrand","g_ad_1","desktop"
"322","30.50","10837","gsearch","nonbrand","g_ad_1","desktop"
"323","30.50","10886","gsearch","nonbrand","g_ad_1","desktop"
"324","30.50","10918","gsearch","nonbrand","g_ad_1","desktop"
"325","30.50","10922","gsearch","nonbrand","g_ad_1","desktop"
"327","30.50","10926","gsearch","nonbrand","g_ad_1","desktop"
"326","30.50","10927","gsearch","nonbrand","g_ad_1","desktop"
"328","30.50","10937","","","","desktop"
"329","30.50","10946","gsearch","nonbrand","g_ad_1","desktop"
"330","30.50","10971","bsearch","brand","b_ad_2","desktop"
"331","30.50","10985","gsearch","nonbrand","g_ad_1","desktop"
"332","30.50","11007","","","","desktop"
"333","30.50","11154","gsearch","nonbrand","g_ad_1","desktop"
"334","30.50","11322","gsearch","brand","g_ad_2","desktop"
"336","30.50","11389","gsearch","nonbrand","g_ad_1","desktop"
"337","30.50","11397","gsearch","nonbrand","g_ad_1","desktop"
"338","30.50","11418","gsearch","nonbrand","g_ad_1","desktop"
"339","30.50","11502","gsearch","nonbrand","g_ad_1","desktop"
"340","30.50","11520","gsearch","nonbrand","g_ad_1","desktop"
"341","30.50","11530","gsearch","nonbrand","g_ad_1","desktop"
"342","30.50","11531","gsearch","nonbrand","g_ad_1","desktop"
"343","30.50","11543","gsearch","nonbrand","g_ad_1","desktop"
"344","30.50","11616","gsearch","nonbrand","g_ad_1","mobile"
"345","30.50","11618","gsearch","nonbrand","g_ad_1","desktop"
"346","30.50","11629","gsearch","nonbrand","g_ad_1","desktop"
"347","30.50","11657","","","","desktop"
"348","30.50","11670","gsearch","nonbrand","g_ad_1","desktop"
"349","30.50","11677","gsearch","nonbrand","g_ad_1","desktop"
"350","30.50","11729","gsearch","nonbrand","g_ad_1","mobile"
"351","30.50","11739","gsearch","nonbrand","g_ad_1","desktop"
"352","30.50","11756","gsearch","nonbrand","g_ad_1","desktop"
"353","30.50","11762","gsearch","nonbrand","g_ad_1","desktop"
"354","30.50","11801","","","","desktop"
"4100","30.50","85671","","","","desktop"
"355","30.50","11835","gsearch","nonbrand","g_ad_1","desktop"
"356","30.50","11917","gsearch","nonbrand","g_ad_1","desktop"
"358","30.50","11957","gsearch","nonbrand","g_ad_1","desktop"
"359","30.50","11971","gsearch","nonbrand","g_ad_1","desktop"
"360","30.50","11985","gsearch","nonbrand","g_ad_1","desktop"
"361","30.50","12028","gsearch","nonbrand","g_ad_1","desktop"
"362","30.50","12047","gsearch","nonbrand","g_ad_1","desktop"
"363","30.50","12065","gsearch","nonbrand","g_ad_1","desktop"
"364","30.50","12086","gsearch","nonbrand","g_ad_1","desktop"
"365","30.50","12141","gsearch","nonbrand","g_ad_1","desktop"
"366","30.50","12168","gsearch","nonbrand","g_ad_1","desktop"
"367","30.50","12216","","","","desktop"
"369","30.50","12284","gsearch","nonbrand","g_ad_1","mobile"
"370","30.50","12321","gsearch","brand","g_ad_2","desktop"
"371","30.50","12329","gsearch","nonbrand","g_ad_1","desktop"
"372","30.50","12388","","","","desktop"
"373","30.50","12394","gsearch","nonbrand","g_ad_1","desktop"
"374","30.50","12408","gsearch","nonbrand","g_ad_1","desktop"
"375","30.50","12424","gsearch","nonbrand","g_ad_1","desktop"
"376","30.50","12478","gsearch","nonbrand","g_ad_1","desktop"
"377","30.50","12479","","","","desktop"
"378","30.50","12509","gsearch","nonbrand","g_ad_1","desktop"
"379","30.50","12568","gsearch","nonbrand","g_ad_1","desktop"
"380","30.50","12579","gsearch","nonbrand","g_ad_1","desktop"
"381","30.50","12604","","","","desktop"
"383","30.50","12672","","","","mobile"
"384","30.50","12699","gsearch","nonbrand","g_ad_1","desktop"
"385","30.50","12708","gsearch","nonbrand","g_ad_1","desktop"
"386","30.50","12738","gsearch","nonbrand","g_ad_1","mobile"
"387","30.50","12760","gsearch","brand","g_ad_2","desktop"
"388","30.50","12807","gsearch","nonbrand","g_ad_1","desktop"
"389","30.50","12809","","","","desktop"
"390","30.50","12831","gsearch","brand","g_ad_2","desktop"
"392","30.50","12912","gsearch","nonbrand","g_ad_1","desktop"
"394","30.50","12988","gsearch","nonbrand","g_ad_1","desktop"
"395","30.50","13016","gsearch","nonbrand","g_ad_1","desktop"
"396","30.50","13046","gsearch","nonbrand","g_ad_1","desktop"
"397","30.50","13073","gsearch","nonbrand","g_ad_1","desktop"
"398","30.50","13081","gsearch","brand","g_ad_2","desktop"
"399","30.50","13083","gsearch","nonbrand","g_ad_1","desktop"
"400","30.50","13089","gsearch","nonbrand","g_ad_1","mobile"
"401","30.50","13093","gsearch","nonbrand","g_ad_1","desktop"
"402","30.50","13094","","","","desktop"
"403","30.50","13194","gsearch","nonbrand","g_ad_1","desktop"
"4128","30.50","86114","","","","desktop"
"404","30.50","13221","gsearch","nonbrand","g_ad_1","desktop"
"405","30.50","13285","gsearch","nonbrand","g_ad_1","desktop"
"406","30.50","13287","gsearch","nonbrand","g_ad_1","desktop"
"407","30.50","13297","gsearch","brand","g_ad_2","desktop"
"408","30.50","13319","gsearch","nonbrand","g_ad_1","desktop"
"4162","30.50","86621","","","","desktop"
"410","30.50","13494","gsearch","nonbrand","g_ad_1","desktop"
"411","30.50","13510","gsearch","nonbrand","g_ad_1","desktop"
"412","30.50","13571","gsearch","nonbrand","g_ad_1","mobile"
"413","30.50","13591","gsearch","nonbrand","g_ad_1","desktop"
"414","30.50","13663","gsearch","nonbrand","g_ad_1","desktop"
"415","30.50","13694","","","","desktop"
"416","30.50","13726","gsearch","nonbrand","g_ad_1","desktop"
"417","30.50","13745","gsearch","nonbrand","g_ad_1","desktop"
"418","30.50","13752","gsearch","nonbrand","g_ad_1","desktop"
"419","30.50","13754","","","","desktop"
"420","30.50","13782","gsearch","nonbrand","g_ad_1","desktop"
"421","30.50","13812","gsearch","nonbrand","g_ad_1","desktop"
"422","30.50","13843","gsearch","nonbrand","g_ad_1","desktop"
"423","30.50","13857","gsearch","nonbrand","g_ad_1","mobile"
"425","30.50","13891","","","","desktop"
"426","30.50","13949","gsearch","nonbrand","g_ad_1","desktop"
"427","30.50","13975","gsearch","nonbrand","g_ad_1","desktop"
"428","30.50","13981","gsearch","nonbrand","g_ad_1","desktop"
"429","30.50","14062","gsearch","nonbrand","g_ad_1","desktop"
"430","30.50","14098","gsearch","brand","g_ad_2","mobile"
"431","30.50","14124","gsearch","nonbrand","g_ad_1","desktop"
"432","30.50","14129","gsearch","nonbrand","g_ad_1","desktop"
"433","30.50","14147","gsearch","nonbrand","g_ad_1","desktop"
"434","30.50","14157","gsearch","nonbrand","g_ad_1","desktop"
"435","30.50","14170","gsearch","nonbrand","g_ad_1","mobile"
"436","30.50","14186","gsearch","nonbrand","g_ad_1","desktop"
"437","30.50","14195","gsearch","nonbrand","g_ad_1","desktop"
"438","30.50","14205","gsearch","nonbrand","g_ad_1","desktop"
"439","30.50","14219","gsearch","nonbrand","g_ad_1","desktop"
"440","30.50","14289","gsearch","nonbrand","g_ad_1","desktop"
"441","30.50","14307","gsearch","nonbrand","g_ad_1","desktop"
"444","30.50","14354","gsearch","nonbrand","g_ad_1","desktop"
"443","30.50","14357","gsearch","nonbrand","g_ad_1","desktop"
"445","30.50","14377","gsearch","nonbrand","g_ad_1","desktop"
"446","30.50","14383","gsearch","nonbrand","g_ad_1","desktop"
"447","30.50","14460","gsearch","nonbrand","g_ad_1","desktop"
"448","30.50","14462","gsearch","nonbrand","g_ad_1","mobile"
"449","30.50","14476","gsearch","nonbrand","g_ad_1","desktop"
"450","30.50","14550","gsearch","nonbrand","g_ad_1","desktop"
"451","30.50","14564","gsearch","nonbrand","g_ad_1","desktop"
"452","30.50","14567","gsearch","brand","g_ad_2","desktop"
"453","30.50","14604","gsearch","brand","g_ad_2","desktop"
"454","30.50","14623","gsearch","nonbrand","g_ad_1","desktop"
"455","30.50","14657","","","","desktop"
"456","30.50","14663","gsearch","nonbrand","g_ad_1","desktop"
"457","30.50","14671","gsearch","nonbrand","g_ad_1","desktop"
"458","30.50","14678","gsearch","nonbrand","g_ad_1","desktop"
"459","30.50","14679","gsearch","nonbrand","g_ad_1","mobile"
"460","30.50","14688","gsearch","nonbrand","g_ad_1","desktop"
"461","30.50","14698","gsearch","nonbrand","g_ad_1","desktop"
